row_1,row_2,similarity,text_1,text_2
152,193,1.0,aiims Bangalore,AIIMS Bangalore
6,14,1.0,fortis hospital Pune,Fortis Hospital Pune
50,226,1.0,sunrise clinic Delhi,Sunrise Clinic Delhi
33,177,1.0000000000000002,city hospital Bangalore,City Hospital Bangalore
54,296,1.0,AIIMS Pune,AIIMS Pune
202,235,1.0000000000000002,City Hospital Bangalore,City Hospital Bangalore
26,123,1.0,sunrise clinic Mumbai,Sunrise Clinic Mumbai
102,73,100.0,Sunrise Clinic Pune,sunrise clinic Pune
9,255,1.0,fortis hospital Mumbai,Fortis Hospital Mumbai
96,115,100.0,city hospital Mumbai,city hospital Mumbai
61,286,1.0,fortis hospital Delhi,Fortis Hosp Delhi
144,291,1.0,Fortis Hospital Pune,Fortis Hospital Pune
182,249,1.0,Sunrise Clinic Pune,Sunrise Clinic Pune
68,42,100.0,Fortis Hospital Delhi,fortis hospital Delhi
154,238,1.0,Apollo Hospital Delhi,Apollo Hospital Delhi
4,148,1.0,Fortis Hosp Pune,fortis hospital Pune
31,47,1.0,apollo hospital Mumbai,Apollo Hosp Mumbai
38,151,1.0000000000000002,City Hosp Delhi,City Hospital Delhi
171,211,1.0000000000000002,City Hospital Bangalore,City Hosp Bangalore
35,251,1.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
95,134,1.0,Fortis Hospital Bangalore,Fortis Hospital Bangalore
47,30,100.0,Apollo Hosp Mumbai,apollo hospital Mumbai
28,168,1.0,Fortis Hospital Pune,Fortis Hospital Pune
106,278,1.0,sunrise clinic Bangalore,Sunrise Clinic Bangalore
250,35,100.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
177,33,100.0,City Hospital Bangalore,city hospital Bangalore
71,193,1.0,AIIMS Bangalore,AIIMS Bangalore
214,256,1.0,sunrise clinic Mumbai,Sunrise Clinic Mumbai
182,200,1.0,Sunrise Clinic Pune,Sunrise Clinic Pune
110,5,100.0,Sunrise Clinic Pune,Sunrise Clinic Pune
32,29,100.0,AIIMS Mumbai,AIIMS Mumbai
147,290,1.0,Fortis Hospital Mumbai,fortis hospital Mumbai
26,143,100.0,sunrise clinic Mumbai,sunrise clinic Mumbai
16,177,1.0000000000000002,City Hospital Bangalore,City Hospital Bangalore
47,165,1.0,Apollo Hosp Mumbai,apollo hospital Mumbai
59,221,1.0,AIIMS Pune,AIIMS Pune
56,130,1.0,AIIMS Pune,aiims Pune
245,252,1.0000000000000002,City Hosp Pune,City Hosp Pune
75,70,100.0,AIIMS Delhi,aiims Delhi
255,9,100.0,Fortis Hospital Mumbai,fortis hospital Mumbai
31,48,1.0,apollo hospital Mumbai,apollo hospital Mumbai
161,179,1.0,AIIMS Bangalore,AIIMS Bangalore
146,287,1.0,AIIMS Bangalore,aiims Bangalore
206,27,100.0,Fortis Hospital Bangalore,Fortis Hosp Bangalore
17,82,100.0,Apollo Hosp Delhi,apollo hospital Delhi
10,55,100.0,fortis hospital Mumbai,Fortis Hosp Mumbai
131,18,100.0,Sunrise Clinic Delhi,sunrise clinic Delhi
184,61,100.0,Fortis Hosp Delhi,fortis hospital Delhi
72,98,1.0,aiims Delhi,AIIMS Delhi
99,280,1.0,sunrise clinic Pune,Sunrise Clinic Pune
159,163,1.0,Sunrise Clinic Bangalore,sunrise clinic Bangalore
6,257,1.0,fortis hospital Pune,Fortis Hosp Pune
52,273,1.0,aiims Bangalore,AIIMS Bangalore
202,45,100.0,City Hospital Bangalore,city hospital Bangalore
40,176,1.0,aiims Pune,aiims Pune
85,151,1.0000000000000002,City Hospital Delhi,City Hospital Delhi
278,285,1.0,Sunrise Clinic Bangalore,Sunrise Clinic Bangalore
75,21,100.0,AIIMS Delhi,AIIMS Delhi
174,34,100.0,apollo hospital Bangalore,Apollo Hospital Bangalore
28,14,100.0,Fortis Hospital Pune,Fortis Hospital Pune
264,29,100.0,AIIMS Mumbai,AIIMS Mumbai
27,136,1.0,Fortis Hosp Bangalore,fortis hospital Bangalore
226,15,100.0,Sunrise Clinic Delhi,Sunrise Clinic Delhi
8,174,1.0,Apollo Hospital Bangalore,apollo hospital Bangalore
34,35,1.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
129,137,1.0,Apollo Hosp Mumbai,Apollo Hospital Mumbai
167,229,1.0,fortis hospital Delhi,fortis hospital Delhi
297,42,100.0,fortis hospital Delhi,fortis hospital Delhi
50,18,100.0,sunrise clinic Delhi,sunrise clinic Delhi
104,99,100.0,sunrise clinic Pune,sunrise clinic Pune
161,25,100.0,AIIMS Bangalore,aiims Bangalore
102,239,1.0,Sunrise Clinic Pune,Sunrise Clinic Pune
7,137,1.0,apollo hospital Mumbai,Apollo Hospital Mumbai
147,271,1.0,Fortis Hospital Mumbai,fortis hospital Mumbai
111,89,100.0,Fortis Hosp Bangalore,Fortis Hospital Bangalore
232,52,100.0,aiims Bangalore,aiims Bangalore
169,196,1.0,sunrise clinic Delhi,sunrise clinic Delhi
176,223,1.0,aiims Pune,AIIMS Pune
43,20,100.0,City Hospital Pune,City Hospital Pune
64,82,100.0,Apollo Hospital Delhi,apollo hospital Delhi
144,24,100.0,Fortis Hospital Pune,Fortis Hosp Pune
13,148,1.0,Fortis Hosp Pune,fortis hospital Pune
198,220,1.0,Apollo Hosp Bangalore,Apollo Hosp Bangalore
151,156,1.0000000000000002,City Hospital Delhi,city hospital Delhi
12,61,1.0,Fortis Hosp Delhi,fortis hospital Delhi
230,36,100.0,Sunrise Clinic Mumbai,Sunrise Clinic Mumbai
159,0,100.0,Sunrise Clinic Bangalore,Sunrise Clinic Bangalore
19,51,1.0,AIIMS Pune,AIIMS Pune
140,148,1.0,Fortis Hosp Pune,fortis hospital Pune
126,66,100.0,city hospital Pune,city hospital Pune
158,47,100.0,Apollo Hospital Mumbai,Apollo Hosp Mumbai
296,40,100.0,AIIMS Pune,aiims Pune
214,123,100.0,sunrise clinic Mumbai,Sunrise Clinic Mumbai
255,69,100.0,Fortis Hospital Mumbai,fortis hospital Mumbai
14,78,1.0,Fortis Hospital Pune,Fortis Hospital Pune
275,19,100.0,AIIMS Pune,AIIMS Pune
169,226,1.0,sunrise clinic Delhi,Sunrise Clinic Delhi
42,68,1.0,fortis hospital Delhi,Fortis Hospital Delhi
45,16,100.0,city hospital Bangalore,City Hospital Bangalore
52,71,1.0,aiims Bangalore,AIIMS Bangalore
88,3,100.0,City Hospital Bangalore,City Hospital Bangalore
197,44,100.0,Sunrise Clinic Pune,Sunrise Clinic Pune
14,291,1.0,Fortis Hospital Pune,Fortis Hospital Pune
102,76,100.0,Sunrise Clinic Pune,sunrise clinic Pune
65,81,1.0,Sunrise Clinic Bangalore,sunrise clinic Bangalore
24,4,100.0,Fortis Hosp Pune,Fortis Hosp Pune
113,229,1.0,Fortis Hospital Delhi,fortis hospital Delhi
21,75,100.0,AIIMS Delhi,AIIMS Delhi
55,69,100.0,Fortis Hosp Mumbai,fortis hospital Mumbai
135,11,100.0,City Hospital Delhi,City Hospital Delhi
2,185,1.0,fortis hospital Bangalore,Fortis Hosp Bangalore
80,295,1.0,apollo hospital Pune,apollo hospital Pune
155,48,100.0,Apollo Hosp Mumbai,apollo hospital Mumbai
196,169,100.0,sunrise clinic Delhi,sunrise clinic Delhi
178,27,100.0,Fortis Hosp Bangalore,Fortis Hosp Bangalore
122,170,1.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
167,289,1.0,fortis hospital Delhi,Fortis Hospital Delhi
42,153,1.0,fortis hospital Delhi,Fortis Hospital Delhi
227,244,1.0,apollo hospital Pune,Apollo Hospital Pune
92,24,100.0,fortis hospital Pune,Fortis Hosp Pune
182,203,1.0,Sunrise Clinic Pune,Sunrise Clinic Pune
78,270,1.0,Fortis Hospital Pune,Fortis Hospital Pune
20,234,1.0000000000000002,City Hospital Pune,City Hosp Pune
150,66,100.0,City Hosp Pune,city hospital Pune
2,136,1.0,fortis hospital Bangalore,fortis hospital Bangalore
59,90,1.0,AIIMS Pune,aiims Pune
69,37,100.0,fortis hospital Mumbai,Fortis Hospital Mumbai
93,122,1.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
88,33,100.0,City Hospital Bangalore,city hospital Bangalore
229,289,1.0,fortis hospital Delhi,Fortis Hospital Delhi
81,278,1.0,sunrise clinic Bangalore,Sunrise Clinic Bangalore
69,181,1.0,fortis hospital Mumbai,Fortis Hosp Mumbai
183,279,1.0,Sunrise Clinic Pune,sunrise clinic Pune
105,150,1.0000000000000002,city hospital Pune,City Hosp Pune
137,7,100.0,Apollo Hospital Mumbai,apollo hospital Mumbai
177,202,1.0000000000000002,City Hospital Bangalore,City Hospital Bangalore
56,296,1.0,AIIMS Pune,AIIMS Pune
24,140,1.0,Fortis Hosp Pune,Fortis Hosp Pune
57,209,1.0,Fortis Hospital Delhi,fortis hospital Delhi
49,29,100.0,aiims Mumbai,AIIMS Mumbai
210,244,1.0,Apollo Hosp Pune,Apollo Hospital Pune
111,206,1.0,Fortis Hosp Bangalore,Fortis Hospital Bangalore
33,211,1.0000000000000002,city hospital Bangalore,City Hosp Bangalore
93,8,100.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
182,233,1.0,Sunrise Clinic Pune,sunrise clinic Pune
163,81,100.0,sunrise clinic Bangalore,sunrise clinic Bangalore
176,275,1.0,aiims Pune,AIIMS Pune
109,190,1.0,Fortis Hospital Delhi,Fortis Hospital Delhi
38,135,1.0000000000000002,City Hosp Delhi,City Hospital Delhi
266,36,100.0,Sunrise Clinic Mumbai,Sunrise Clinic Mumbai
59,254,1.0,AIIMS Pune,AIIMS Pune
25,232,1.0,aiims Bangalore,aiims Bangalore
12,113,1.0,Fortis Hosp Delhi,Fortis Hospital Delhi
95,118,1.0,Fortis Hospital Bangalore,Fortis Hosp Bangalore
124,188,1.0000000000000002,city hospital Bangalore,City Hospital Bangalore
60,208,1.0,apollo hospital Pune,Apollo Hospital Pune
165,48,100.0,apollo hospital Mumbai,apollo hospital Mumbai
213,286,1.0,Fortis Hosp Delhi,Fortis Hosp Delhi
67,107,1.0,Apollo Hosp Bangalore,Apollo Hosp Bangalore
108,228,1.0,Sunrise Clinic Mumbai,sunrise clinic Mumbai
20,43,1.0000000000000002,City Hospital Pune,City Hospital Pune
271,10,100.0,fortis hospital Mumbai,fortis hospital Mumbai
101,155,1.0,Apollo Hosp Mumbai,Apollo Hosp Mumbai
6,28,1.0,fortis hospital Pune,Fortis Hospital Pune
179,71,100.0,AIIMS Bangalore,AIIMS Bangalore
34,251,1.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
174,67,100.0,apollo hospital Bangalore,Apollo Hosp Bangalore
82,128,100.0,apollo hospital Delhi,Apollo Hospital Delhi
93,94,1.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
127,275,1.0,AIIMS Pune,AIIMS Pune
184,229,1.0,Fortis Hosp Delhi,fortis hospital Delhi
236,26,100.0,sunrise clinic Mumbai,sunrise clinic Mumbai
97,298,1.0,sunrise clinic Bangalore,sunrise clinic Bangalore
4,28,1.0,Fortis Hosp Pune,Fortis Hospital Pune
137,222,1.0,Apollo Hospital Mumbai,apollo hospital Mumbai
142,155,1.0,apollo hospital Mumbai,Apollo Hosp Mumbai
84,23,100.0,Sunrise Clinic Bangalore,Sunrise Clinic Bangalore
59,284,1.0,AIIMS Pune,aiims Pune
243,16,100.0,City Hosp Bangalore,City Hospital Bangalore
85,135,1.0000000000000002,City Hospital Delhi,City Hospital Delhi
155,165,1.0,Apollo Hosp Mumbai,apollo hospital Mumbai
114,1,100.0,apollo hospital Bangalore,Apollo Hosp Bangalore
256,26,100.0,Sunrise Clinic Mumbai,sunrise clinic Mumbai
288,7,100.0,Apollo Hosp Mumbai,apollo hospital Mumbai
161,58,100.0,AIIMS Bangalore,AIIMS Bangalore
172,258,1.0,fortis hospital Mumbai,Fortis Hospital Mumbai
103,70,100.0,AIIMS Delhi,aiims Delhi
52,74,1.0,aiims Bangalore,AIIMS Bangalore
110,125,1.0,Sunrise Clinic Pune,sunrise clinic Pune
192,295,1.0,Apollo Hosp Pune,apollo hospital Pune
39,33,100.0,City Hospital Bangalore,city hospital Bangalore
66,252,1.0000000000000002,city hospital Pune,City Hosp Pune
167,213,1.0,fortis hospital Delhi,Fortis Hosp Delhi
68,57,100.0,Fortis Hospital Delhi,Fortis Hospital Delhi
225,230,1.0,Sunrise Clinic Mumbai,Sunrise Clinic Mumbai
161,193,1.0,AIIMS Bangalore,AIIMS Bangalore
117,277,1.0,Fortis Hospital Pune,Fortis Hosp Pune
11,218,1.0000000000000002,City Hospital Delhi,City Hosp Delhi
211,235,1.0000000000000002,City Hosp Bangalore,City Hospital Bangalore
10,69,100.0,fortis hospital Mumbai,fortis hospital Mumbai
93,174,1.0,Apollo Hospital Bangalore,apollo hospital Bangalore
147,255,1.0,Fortis Hospital Mumbai,Fortis Hospital Mumbai
40,56,1.0,aiims Pune,AIIMS Pune
52,287,1.0,aiims Bangalore,aiims Bangalore
78,148,1.0,Fortis Hospital Pune,fortis hospital Pune
103,21,100.0,AIIMS Delhi,AIIMS Delhi
134,195,1.0,Fortis Hospital Bangalore,Fortis Hosp Bangalore
5,280,1.0,Sunrise Clinic Pune,Sunrise Clinic Pune
65,163,1.0,Sunrise Clinic Bangalore,sunrise clinic Bangalore
183,197,1.0,Sunrise Clinic Pune,Sunrise Clinic Pune
84,159,1.0,Sunrise Clinic Bangalore,Sunrise Clinic Bangalore
109,57,100.0,Fortis Hospital Delhi,Fortis Hospital Delhi
94,187,1.0,Apollo Hospital Bangalore,apollo hospital Bangalore
125,280,1.0,sunrise clinic Pune,Sunrise Clinic Pune
292,82,100.0,apollo hospital Delhi,apollo hospital Delhi
129,7,100.0,Apollo Hosp Mumbai,apollo hospital Mumbai
121,298,1.0,Sunrise Clinic Bangalore,sunrise clinic Bangalore
254,40,100.0,AIIMS Pune,aiims Pune
158,31,100.0,Apollo Hospital Mumbai,apollo hospital Mumbai
25,71,1.0,aiims Bangalore,AIIMS Bangalore
234,252,1.0000000000000002,City Hosp Pune,City Hosp Pune
105,66,100.0,city hospital Pune,city hospital Pune
11,160,1.0000000000000002,City Hospital Delhi,City Hosp Delhi
64,17,100.0,Apollo Hospital Delhi,Apollo Hosp Delhi
41,29,100.0,AIIMS Mumbai,AIIMS Mumbai
164,286,1.0,fortis hospital Delhi,Fortis Hosp Delhi
219,274,1.0,sunrise clinic Bangalore,Sunrise Clinic Bangalore
136,141,1.0,fortis hospital Bangalore,Fortis Hosp Bangalore
279,73,100.0,sunrise clinic Pune,sunrise clinic Pune
219,81,100.0,sunrise clinic Bangalore,sunrise clinic Bangalore
59,132,1.0,AIIMS Pune,aiims Pune
113,213,1.0,Fortis Hospital Delhi,Fortis Hosp Delhi
211,45,100.0,City Hosp Bangalore,city hospital Bangalore
60,86,1.0,apollo hospital Pune,Apollo Hosp Pune
65,0,100.0,Sunrise Clinic Bangalore,Sunrise Clinic Bangalore
33,243,1.0000000000000002,city hospital Bangalore,City Hosp Bangalore
38,139,100.0,City Hosp Delhi,City Hosp Delhi
76,125,1.0,sunrise clinic Pune,sunrise clinic Pune
148,277,1.0,fortis hospital Pune,Fortis Hosp Pune
54,100,1.0,AIIMS Pune,aiims Pune
26,189,1.0,sunrise clinic Mumbai,Sunrise Clinic Mumbai
130,284,1.0,aiims Pune,aiims Pune
14,92,1.0,Fortis Hospital Pune,fortis hospital Pune
204,6,100.0,Fortis Hosp Pune,fortis hospital Pune
22,234,1.0000000000000002,city hospital Pune,City Hosp Pune
1,107,1.0,Apollo Hosp Bangalore,Apollo Hosp Bangalore
83,277,1.0,Fortis Hosp Pune,Fortis Hosp Pune
177,235,1.0000000000000002,City Hospital Bangalore,City Hospital Bangalore
3,188,1.0000000000000002,City Hospital Bangalore,City Hospital Bangalore
228,26,100.0,sunrise clinic Mumbai,sunrise clinic Mumbai
104,249,1.0,sunrise clinic Pune,Sunrise Clinic Pune
9,147,1.0,fortis hospital Mumbai,Fortis Hospital Mumbai
101,158,1.0,Apollo Hosp Mumbai,Apollo Hospital Mumbai
129,222,1.0,Apollo Hosp Mumbai,apollo hospital Mumbai
154,120,100.0,Apollo Hospital Delhi,apollo hospital Delhi
120,154,1.0,apollo hospital Delhi,Apollo Hospital Delhi
25,52,1.0,aiims Bangalore,aiims Bangalore
235,16,100.0,City Hospital Bangalore,City Hospital Bangalore
128,269,1.0,Apollo Hospital Delhi,Apollo Hosp Delhi
84,219,1.0,Sunrise Clinic Bangalore,sunrise clinic Bangalore
261,11,100.0,city hospital Delhi,City Hospital Delhi
290,10,100.0,fortis hospital Mumbai,fortis hospital Mumbai
142,158,1.0,apollo hospital Mumbai,Apollo Hospital Mumbai
44,99,1.0,Sunrise Clinic Pune,sunrise clinic Pune
85,139,100.0,City Hospital Delhi,City Hosp Delhi
66,43,100.0,city hospital Pune,City Hospital Pune
204,270,1.0,Fortis Hosp Pune,Fortis Hospital Pune
87,115,1.0,City Hospital Mumbai,city hospital Mumbai
163,65,100.0,sunrise clinic Bangalore,Sunrise Clinic Bangalore
104,279,1.0,sunrise clinic Pune,sunrise clinic Pune
205,283,1.0,AIIMS Mumbai,aiims Mumbai
215,286,1.0,fortis hospital Delhi,Fortis Hosp Delhi
114,198,1.0,apollo hospital Bangalore,Apollo Hosp Bangalore
60,192,1.0,apollo hospital Pune,Apollo Hosp Pune
124,45,100.0,city hospital Bangalore,city hospital Bangalore
144,204,1.0,Fortis Hospital Pune,Fortis Hosp Pune
67,35,100.0,Apollo Hosp Bangalore,Apollo Hospital Bangalore
84,65,100.0,Sunrise Clinic Bangalore,Sunrise Clinic Bangalore
71,161,1.0,AIIMS Bangalore,AIIMS Bangalore
48,30,100.0,apollo hospital Mumbai,apollo hospital Mumbai
138,62,100.0,AIIMS Delhi,AIIMS Delhi
147,258,1.0,Fortis Hospital Mumbai,Fortis Hospital Mumbai
274,23,100.0,Sunrise Clinic Bangalore,Sunrise Clinic Bangalore
40,59,1.0,aiims Pune,AIIMS Pune
251,35,100.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
228,241,1.0,sunrise clinic Mumbai,Sunrise Clinic Mumbai
30,47,100.0,apollo hospital Mumbai,Apollo Hosp Mumbai
234,43,100.0,City Hosp Pune,City Hospital Pune
183,200,1.0,Sunrise Clinic Pune,Sunrise Clinic Pune
114,34,100.0,apollo hospital Bangalore,Apollo Hospital Bangalore
149,178,1.0,Fortis Hosp Bangalore,Fortis Hosp Bangalore
67,170,1.0,Apollo Hosp Bangalore,Apollo Hospital Bangalore
231,295,1.0,Apollo Hospital Pune,apollo hospital Pune
11,38,1.0000000000000002,City Hospital Delhi,City Hosp Delhi
151,135,100.0,City Hospital Delhi,City Hospital Delhi
216,269,1.0,Apollo Hosp Delhi,Apollo Hosp Delhi
139,38,100.0,City Hosp Delhi,City Hosp Delhi
184,213,1.0,Fortis Hosp Delhi,Fortis Hosp Delhi
14,277,1.0,Fortis Hospital Pune,Fortis Hosp Pune
229,61,100.0,fortis hospital Delhi,fortis hospital Delhi
124,202,1.0000000000000002,city hospital Bangalore,City Hospital Bangalore
5,44,100.0,Sunrise Clinic Pune,Sunrise Clinic Pune
111,299,1.0,Fortis Hosp Bangalore,Fortis Hosp Bangalore
28,166,1.0,Fortis Hospital Pune,fortis hospital Pune
260,80,100.0,Apollo Hosp Pune,apollo hospital Pune
279,76,100.0,sunrise clinic Pune,sunrise clinic Pune
114,35,100.0,apollo hospital Bangalore,Apollo Hospital Bangalore
87,96,1.0,City Hospital Mumbai,city hospital Mumbai
269,120,100.0,Apollo Hosp Delhi,apollo hospital Delhi
249,99,100.0,Sunrise Clinic Pune,sunrise clinic Pune
205,264,1.0,AIIMS Mumbai,AIIMS Mumbai
40,223,1.0,aiims Pune,AIIMS Pune
94,220,1.0,Apollo Hospital Bangalore,Apollo Hosp Bangalore
145,272,1.0,city hospital Mumbai,City Hosp Mumbai
281,43,100.0,City Hosp Pune,City Hospital Pune
6,92,1.0,fortis hospital Pune,fortis hospital Pune
185,206,1.0,Fortis Hosp Bangalore,Fortis Hospital Bangalore
21,62,100.0,AIIMS Delhi,AIIMS Delhi
110,44,100.0,Sunrise Clinic Pune,Sunrise Clinic Pune
200,76,100.0,Sunrise Clinic Pune,sunrise clinic Pune
28,117,1.0,Fortis Hospital Pune,Fortis Hospital Pune
114,170,1.0,apollo hospital Bangalore,Apollo Hospital Bangalore
96,115,1.0,city hospital Mumbai,city hospital Mumbai
58,157,1.0,AIIMS Bangalore,AIIMS Bangalore
35,107,1.0,Apollo Hospital Bangalore,Apollo Hosp Bangalore
29,283,1.0,AIIMS Mumbai,aiims Mumbai
56,79,1.0,AIIMS Pune,AIIMS Pune
227,231,1.0,apollo hospital Pune,Apollo Hospital Pune
231,276,1.0,Apollo Hospital Pune,Apollo Hosp Pune
247,268,1.0,Fortis Hospital Bangalore,fortis hospital Bangalore
146,46,100.0,AIIMS Bangalore,AIIMS Bangalore
73,44,100.0,sunrise clinic Pune,Sunrise Clinic Pune
27,134,1.0,Fortis Hosp Bangalore,Fortis Hospital Bangalore
17,265,1.0,Apollo Hosp Delhi,Apollo Hosp Delhi
146,152,1.0,AIIMS Bangalore,aiims Bangalore
27,268,1.0,Fortis Hosp Bangalore,fortis hospital Bangalore
229,42,100.0,fortis hospital Delhi,fortis hospital Delhi
78,83,1.0,Fortis Hospital Pune,Fortis Hosp Pune
298,65,100.0,sunrise clinic Bangalore,Sunrise Clinic Bangalore
94,250,1.0,Apollo Hospital Bangalore,Apollo Hospital Bangalore
223,56,100.0,AIIMS Pune,AIIMS Pune
26,143,1.0,sunrise clinic Mumbai,sunrise clinic Mumbai
67,8,100.0,Apollo Hosp Bangalore,Apollo Hospital Bangalore
183,76,100.0,Sunrise Clinic Pune,sunrise clinic Pune
117,291,1.0,Fortis Hospital Pune,Fortis Hospital Pune
253,62,100.0,AIIMS Delhi,AIIMS Delhi
168,13,100.0,Fortis Hospital Pune,Fortis Hosp Pune
219,65,100.0,sunrise clinic Bangalore,Sunrise Clinic Bangalore
17,82,1.0,Apollo Hosp Delhi,apollo hospital Delhi
10,55,1.0,fortis hospital Mumbai,Fortis Hosp Mumbai
17,216,1.0,Apollo Hosp Delhi,Apollo Hosp Delhi
31,155,1.0,apollo hospital Mumbai,Apollo Hosp Mumbai
46,25,100.0,AIIMS Bangalore,aiims Bangalore
89,268,1.0,Fortis Hospital Bangalore,fortis hospital Bangalore
